catalog_id,catalog,directory
1,lymphoma,Images/images/Lymphoma_Images
2,wmxs,Images/images/Wmxs_Images
3,Histology,Images/images/Histolgy_Images
4,HuMam,Images/images/Human_Mammary
5,MouseMam,Images/images/Mouse_Mammary
6,MouseLung,Images/images/Mouse_Lung
7,MouseCNS,Images/images/Mouse_CNS
8,MouseProstatePath,Images/images/Mouse_P_Prostate
9,MouseDerm,Images/images/MouseDerm
10,HuProstatePath,Images/images/Human_P_Prostate
11,HuGI,Images/images/Human_GI
12,HuLung,Images/images/Human_Lung
13,MouseBM,Images/images/Mouse_BM
14,MousePB,Images/images/Mouse_PB
15,MouseGI,Images/images/MouseGI
16,HuProstateNormal,Images/images/Human_N_Prostate
17,MouseProstateNormal,Images/images/Mouse_N_Prostate
18,bskin,Images/images/BosenbergM_Images/Skin_Images
19,bluemodified,Images/images/Lung_Tumors/Images/BlueModified
20,Model,Images/images/zoomify/MouseNormalHistology
21,Histopathology,Images/images/zoomify/MouseProstate
22,GeneticConstruct,Images/images/GeneticConstruct
23,originals,Images/images/originals
24,anver,Images/images/Lung_Tumors/LungPathologyWeb_Prototype/images/Anver
25,rehm,Images/images/Lung_Tumors/LungPathologyWeb_Prototype/images/Rehm
26,human,Images/images/Lung_Tumors/LungPathologyWeb_Prototype/images/human
27,mice,Images/images/Mice
28,wcns,Images/images/WeissW_Images/CNS_Images
29,gprost,Images/images/GreenbergN_Images/Prostate_Images
30,external,Images/images/External/Donator/Tissue/Diagnosis
31,nikapp,Images/images/nikapp
32,sca,Images/images/sca
33,ihc,Images/images/ihc
34,zoomify,Images/images/zoomify
35,HumanBreast,Images/images/HumanBreast
36,HumanDerm,Images/images/zoomify/HumanDerm
37,HumanGI,Images/images/zoomify/HumanGI
38,HumanLung,Images/images/zoomify/HumanLung
39,HumanNormalHistology,Images/images/zoomify/HumanNormalHistology
40,HumanProstate,Images/images/zoomify/HumanProstate
41,MouseCNS,Images/images/zoomify/MouseCNS
42,MouseDerm,Images/images/zoomify/MouseDerm
43,MouseGI,Images/images/zoomify/MouseGI
44,MouseHematopoieticSystem,Images/images/zoomify/MouseHematopoieticSystem
45,MouseLung,Images/images/zoomify/MouseLung
46,MouseMammary,Images/images/zoomify/MouseMammary
47,MouseNormalHistology,Images/images/zoomify/MouseNormalHistology
48,MouseProstate,Images/images/zoomify/MouseProstate
49,MPEGImages,Images/images/zoomify/mpeg_images
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,
,
,
,
,
,
,
