Original File,New File,New Ext,Original Name,MrSid Output,catalog_id
/images/Histology_Images/pancreas.sid,/djatoka/Images/images/Histology_Images/pancreas.tif,.tif,pancreas.sid,none,
/images/Histology_Images/prostate2.sid,/djatoka/Images/images/Histology_Images/prostate2.tif,.tif,prostate2.sid,none,
/images/Histology_Images/salivary_gland_and_muscle.sid,/djatoka/Images/images/Histology_Images/salivary_gland_and_muscle.tif,.tif,salivary_gland_and_muscle.sid,none,
/images/Human_Images/HuGI/HGI1.sid,/djatoka/Images/images/Human_Images/HuGI/HGI1.jpg,.jpg,HGI1.sid,none,
/images/Human_Images/HuLung/HL1.sid,/djatoka/Images/images/Human_Images/HuLung/HL1.jpg,.jpg,HL1.sid,none,
/images/Human_Images/HuLung/HL2.sid,/djatoka/Images/images/Human_Images/HuLung/HL2.jpg,.jpg,HL2.sid,none,
/images/Human_Images/HuMam/HM1.sid,/djatoka/Images/images/Human_Images/HuMam/HM1.jpg,.jpg,HM1.sid,none,
/images/Human_Images/HuMam/HM10.sid,/djatoka/Images/images/Human_Images/HuMam/HM10.tif,.tif,HM10.sid,none,
/images/Human_Images/HuMam/HM2.sid,/djatoka/Images/images/Human_Images/HuMam/HM2.jpg,.jpg,HM2.sid,none,
/images/Human_Images/HuMam/HM3.sid,/djatoka/Images/images/Human_Images/HuMam/HM3.jpg,.jpg,HM3.sid,none,
/images/Human_Images/HuMam/HM4.sid,/djatoka/Images/images/Human_Images/HuMam/HM4.jpg,.jpg,HM4.sid,none,
/images/Human_Images/HuMam/HM5.sid,/djatoka/Images/images/Human_Images/HuMam/HM5.tif,.tif,HM5.sid,none,
/images/Human_Images/HuMam/HM6.sid,/djatoka/Images/images/Human_Images/HuMam/HM6.jpg,.jpg,HM6.sid,none,
/images/Human_Images/HuMam/HM7.sid,/djatoka/Images/images/Human_Images/HuMam/HM7.tif,.tif,HM7.sid,none,
/images/Human_Images/HuMam/HM9.sid,/djatoka/Images/images/Human_Images/HuMam/HM9.jpg,.jpg,HM9.sid,none,
/images/Human_Images/HuMam/S01-8394.sid,/djatoka/Images/images/Human_Images/HuMam/S01-8394.tif,.tif,S01-8394.sid,none,
/images/Human_Images/HuProstateNormal/HP1n.sid,/djatoka/Images/images/Human_Images/HuProstateNormal/HP1n.jpg,.jpg,HP1n.sid,none,
/images/Human_Images/HuProstateNormal/HP2n.sid,/djatoka/Images/images/Human_Images/HuProstateNormal/HP2n.jpg,.jpg,HP2n.sid,none,
/images/Human_Images/HuProstateNormal/HP3n.sid,/djatoka/Images/images/Human_Images/HuProstateNormal/HP3n.jpg,.jpg,HP3n.sid,none,
/images/Human_Images/HuProstateNormal/HP4n.sid,/djatoka/Images/images/Human_Images/HuProstateNormal/HP4n.tif,.tif,HP4n.sid,none,
/images/Human_Images/HuProstatePath/HP1.sid,/djatoka/Images/images/Human_Images/HuProstatePath/HP1.jpg,.jpg,HP1.sid,none,
/images/Human_Images/HuProstatePath/HP2.sid,/djatoka/Images/images/Human_Images/HuProstatePath/HP2.jpg,.jpg,HP2.sid,none,
/images/Human_Images/HuProstatePath/HP3.sid,/djatoka/Images/images/Human_Images/HuProstatePath/HP3.jpg,.jpg,HP3.sid,none,
/images/Human_Images/HuProstatePath/HP4.sid,/djatoka/Images/images/Human_Images/HuProstatePath/HP4.tif,.tif,HP4.sid,none,
/images/Lung_Tumors/Images/BlueModified/Image01.sid,/djatoka/Images/images/Lung_Tumors/Images/BlueModified/Image01.tif,.tif,Image01.sid,none,19
/images/Lung_Tumors/Images/BlueModified/Image02.sid,/djatoka/Images/images/Lung_Tumors/Images/BlueModified/Image02.tif,.tif,Image02.sid,none,19
/images/Lung_Tumors/Images/BlueModified/Image03.sid,/djatoka/Images/images/Lung_Tumors/Images/BlueModified/Image03.tif,.tif,Image03.sid,none,19
/images/Lung_Tumors/Images/BlueModified/Image04.sid,/djatoka/Images/images/Lung_Tumors/Images/BlueModified/Image04.tif,.tif,Image04.sid,none,19
/images/Lung_Tumors/Images/BlueModified/Image05.sid,/djatoka/Images/images/Lung_Tumors/Images/BlueModified/Image05.tif,.tif,Image05.sid,none,19
/images/Lung_Tumors/Images/BlueModified/Image06.sid,/djatoka/Images/images/Lung_Tumors/Images/BlueModified/Image06.tif,.tif,Image06.sid,none,19
/images/Lung_Tumors/Images/BlueModified/Image07.sid,/djatoka/Images/images/Lung_Tumors/Images/BlueModified/Image07.tif,.tif,Image07.sid,none,19
/images/Lung_Tumors/Images/Originals/Image07.sid,/djatoka/Images/images/Lung_Tumors/Images/Originals/Image07.tif,.tif,Image07.sid,none,
/images/Lung_Tumors/Images/Originals/Image02.sid,/djatoka/Images/images/Lung_Tumors/Images/Originals/Image02.tif,.tif,Image02.sid,none,
/images/Lung_Tumors/Images/Originals/Image03.sid,/djatoka/Images/images/Lung_Tumors/Images/Originals/Image03.tif,.tif,Image03.sid,none,
/images/Lung_Tumors/Images/Originals/Image04.sid,/djatoka/Images/images/Lung_Tumors/Images/Originals/Image04.tif,.tif,Image04.sid,none,
/images/Lung_Tumors/Images/Originals/Image05.sid,/djatoka/Images/images/Lung_Tumors/Images/Originals/Image05.tif,.tif,Image05.sid,none,
/images/Lung_Tumors/Images/Originals/Image06.sid,/djatoka/Images/images/Lung_Tumors/Images/Originals/Image06.tif,.tif,Image06.sid,none,
/images/Lung_Tumors/Images/Originals/Image01.sid,/djatoka/Images/images/Lung_Tumors/Images/Originals/Image01.tif,.tif,Image01.sid,none,
/images/Lung_Tumors/LungPathologyWeb_Prototype/images/Anver/060_2_medium.sid,/djatoka/Images/images/Lung_Tumors/LungPathologyWeb_Prototype/images/Anver/060_2_medium.tif,.tif,060_2_medium.sid,none,24
/images/Lung_Tumors/LungPathologyWeb_Prototype/images/Anver/033_1_medium.sid,/djatoka/Images/images/Lung_Tumors/LungPathologyWeb_Prototype/images/Anver/033_1_medium.tif,.tif,033_1_medium.sid,none,24
/images/Lung_Tumors/LungPathologyWeb_Prototype/images/Anver/033_1_thumb.sid,/djatoka/Images/images/Lung_Tumors/LungPathologyWeb_Prototype/images/Anver/033_1_thumb.tif,.tif,033_1_thumb.sid,none,24
/images/Lung_Tumors/LungPathologyWeb_Prototype/images/Anver/046_1.sid,/djatoka/Images/images/Lung_Tumors/LungPathologyWeb_Prototype/images/Anver/046_1.tif,.tif,046_1.sid,none,24
/images/Lung_Tumors/LungPathologyWeb_Prototype/images/Anver/046_1_medium.sid,/djatoka/Images/images/Lung_Tumors/LungPathologyWeb_Prototype/images/Anver/046_1_medium.tif,.tif,046_1_medium.sid,none,24
/images/Lung_Tumors/LungPathologyWeb_Prototype/images/Anver/046_1_thumb.sid,/djatoka/Images/images/Lung_Tumors/LungPathologyWeb_Prototype/images/Anver/046_1_thumb.tif,.tif,046_1_thumb.sid,none,24
/images/Lung_Tumors/LungPathologyWeb_Prototype/images/Anver/046_2.sid,/djatoka/Images/images/Lung_Tumors/LungPathologyWeb_Prototype/images/Anver/046_2.tif,.tif,046_2.sid,none,24
/images/Lung_Tumors/LungPathologyWeb_Prototype/images/Anver/046_2_medium.sid,/djatoka/Images/images/Lung_Tumors/LungPathologyWeb_Prototype/images/Anver/046_2_medium.tif,.tif,046_2_medium.sid,none,24
